id,name,num tweets
69279616,akothogembo,5519
206617660,littvay,2481
2511142274,mrooduijn,8404
2407129231,laiabalcells,18359
252098593,albahuidobro,69
430376719,YegorLazarev,144
935093418472235008,joostvanspanje,1362
4070264661,jonathan_rinne,55
2807495670,AnjaGiudici,233
2401508653,amysleeisme,769
2887091908,NBedera,2814
289461078,JohnHolbein1,7402
413616892,Dr_PNL,2359
878108090,JLBergen,1990
2608144190,elenadamian3,224
2696067182,stefanie_reher,204
2352602189,ford_nik,12514
768708411940757504,grow_andre,1101
76122505,EthanVPorter,594
176658849,b_castanho,673
2440842234,posciwty,273
9880862,graemedblair,1355
139011730,jasperjcooper,80
472226813,Marina_Lindell,127
2412409986,MarkEvansACT,1093
201826636,jeremycyoung,2592
1010899417707241473,volkan17658772,256
1323214644,HC_Richardson,54355
912618073018044416,casparchris,211
32917718,CristianNorocel,1630
1035936026693455872,WeComm_VL_NL,108
794824234811977728,SciencePoULB,2936
760495395122319360,Emilie_vanHaute,709
869711772973969408,EJPGjournal,813
155021529,rdandoy,5622
769200887101329412,LizaMugge,804
803902685674016768,WendyConwayLamb,542
3251845342,DimitriCourant,914
255112039,MamaFrej,0
74413542,MariLaeger,104
172942846,Kunkakom,15108
927726240,PatrikTaufar,105
55815666,Dr_SBussu,3378
738325386,wojciechowa,521
29257709,eudaimonisty,6817
342223488,nikwyss,63
49093432,VaLescaL,13164
274235046,mckayspencer,2677
932895309826609152,mblukac,341
133330777,antoanetadl,6325
4853948493,Filip_Kostelka,796
65431230,ICPSRSummer,2958
18294986,DelibGovLaw,652
1015146532767707136,AnnKristinKolln,28
1331319338,KristofJacobs1,5835
1024990986664062979,Mohamme81482582,17
897511191010062339,ProfJohnBarry,4760
277175095,amandabittner,18142
968524528396767232,opensocsci,321
31653998,jgastil,418
250841535,kesearles,14053
898774383338156032,sew_bili,11
1018020525682065408,DFleuss,372
999121800880705536,Sharif_lbakri,747
972392046202941440,SeraphineMaerz,88
2717582972,nomadic_kris,1646
715825348684988416,ESS_Survey,4660
1021938987701653506,FinlandArseniy,0
884461255,JehanBottin,16
393753489,MammaPia,1145
999453835172163585,MichaelNeblo,19
973114820324098048,johnson77010625,19
1022051708325847041,hannah__werner,11
254224108,nnemr,8234
793039387667857408,hayley_walker87,7
1263567842,thinkingpolis,6321
69522999,alfredmwu,292
307786789,DanyMususa,1347
2914137150,LMorgenbesser,4222
40184739,rrichard09,74302
4897186891,awattsup_,194
